replication,country_balance,physical_balance,scale_gap,direction_reversal
487,-0.2547368421,-0.3211861178,0.0664492757,False
488,-0.3642105263,-0.7409335637,0.3767230374,False
489,-0.3178947368,-0.7580643243,0.4401695874,False
490,-0.3936842105,-0.5424919763,0.1488077658,False
491,-0.2463157895,-0.4877993353,0.2414835458,False
492,-0.2252631579,-0.3352311408,0.1099679829,False
493,-0.2210526316,-0.5864322027,0.3653795711,False
494,-0.2210526316,-0.07999380005,-0.1410588315,False
495,-0.1747368421,-0.2391233057,0.06438646359,False
496,-0.1831578947,-0.2553746914,0.07221679663,False
497,-0.2968421053,-0.2838675192,-0.01297458609,False
498,-0.2968421053,-0.3081170956,0.01127499039,False
499,-0.4231578947,-0.6642106718,0.2410527771,False
500,-0.2252631579,-0.2304547618,0.005191603879,False
501,-0.1368421053,-0.1028953315,-0.03394677379,False
502,-0.1326315789,-0.06947608638,-0.06315549257,False
503,-0.2210526316,-0.3250684791,0.1040158475,False
504,-0.1410526316,-0.47908594,0.3380333085,False
505,-0.1873684211,-0.5233217185,0.3359532974,False
506,-0.2168421053,-0.1910230691,-0.02581903618,False
507,-0.4105263158,-0.5977156662,0.1871893505,False
508,-0.2084210526,-0.5183338759,0.3099128233,False
509,-0.2378947368,-0.3180454557,0.08015071884,False
510,-0.2547368421,-0.5242019756,0.2694651335,False
511,-0.1789473684,-0.07856019382,-0.1003871746,False
512,-0.3726315789,-0.6884705417,0.3158389628,False
513,-0.2210526316,-0.6071117198,0.3860590883,False
514,-0.3515789474,-0.5065516378,0.1549726905,False
